site,title,link,city,organization,note,salary_min,salary_max,salary_currency
HeadHanter,Python-разработчик,https://perm.hh.ru/vacancy/47499212?from=vacancy_search_list&query=python,Москва,Novakid Inc,,200 000,300 000,руб.
HeadHanter,Web-разработчик / Backend программист Python,https://perm.hh.ru/vacancy/45973716?from=vacancy_search_list&query=python,Калуга,ORBIS,Будьте первыми,100 000,200 000,руб.
HeadHanter,Python developer,https://perm.hh.ru/vacancy/47678830?from=vacancy_search_list&query=python,Минск,ООО Реслив,,,,
HeadHanter,Python Developer,https://perm.hh.ru/vacancy/44269577?from=vacancy_search_list&query=python,Санкт-Петербург,Quantum Brains,Будьте первыми,,,
HeadHanter,Python разработчик (Екатеринбург),https://perm.hh.ru/vacancy/48084078?from=vacancy_search_list&query=python,Екатеринбург,ООО Ракета,,150 000,200 000,руб.
HeadHanter,С/С++/Python Developer,https://perm.hh.ru/vacancy/48022036?from=vacancy_search_list&query=python,Воронеж,"DSR, Группа Компаний",Будьте первыми,,,
HeadHanter,Python Developer,https://perm.hh.ru/vacancy/40612238?from=vacancy_search_list&query=python,Москва,Тинькофф,Будьте первыми,,,
HeadHanter,Python developer,https://perm.hh.ru/vacancy/47915680?from=vacancy_search_list&query=python,Санкт-Петербург,ООО Геоскан,,,,
HeadHanter,Python developer,https://perm.hh.ru/vacancy/45610715?from=vacancy_search_list&query=python,Москва,B2Broker Москва,Будьте первыми,180 000,230 000,руб.
HeadHanter,Python Engineer,https://perm.hh.ru/vacancy/47134361?from=vacancy_search_list&query=python,Минск,AWEM,,,,
